timestamp,experiment_name,cancer_type,model_type,features,n_folds,fold,precision,recall,f1,nmi,ari,notes,artifact_path
2026-03-03 15:27:22,fusion_intermediate_brca,GS-BRCA,IntermediateFusion,intermediate_fusion_15366,5,3,0.25,0.3,0.2533,0.4584,0.017,"latent=64, lr=0.001, bs=32, epochs_ran=5",models\intermediate_fusion\fusion_brca_fold3.pt
2026-03-03 15:27:27,fusion_intermediate_brca,GS-BRCA,IntermediateFusion,intermediate_fusion_15366,5,4,0.36,0.36,0.36,0.5679,0.3182,"latent=64, lr=0.001, bs=32, epochs_ran=5",models\intermediate_fusion\fusion_brca_fold4.pt
2026-03-03 16:25:29,fusion_intermediate_brca,GS-BRCA,IntermediateFusion,intermediate_fusion_15366,5,0,0.8401,0.8571,0.848,0.6675,0.6501,"latent=64, lr=0.001, bs=32, epochs_ran=13",models\intermediate_fusion\fusion_brca_fold0.pt
2026-03-03 16:25:40,fusion_intermediate_brca,GS-BRCA,IntermediateFusion,intermediate_fusion_15366,5,1,0.7187,0.7955,0.7226,0.5658,0.4497,"latent=64, lr=0.001, bs=32, epochs_ran=15",models\intermediate_fusion\fusion_brca_fold1.pt
2026-03-03 16:25:52,fusion_intermediate_brca,GS-BRCA,IntermediateFusion,intermediate_fusion_15366,5,2,0.7808,0.8024,0.7845,0.6604,0.6825,"latent=64, lr=0.001, bs=32, epochs_ran=14",models\intermediate_fusion\fusion_brca_fold2.pt
2026-03-03 16:26:04,fusion_intermediate_brca,GS-BRCA,IntermediateFusion,intermediate_fusion_15366,5,3,0.8273,0.9224,0.8606,0.7266,0.6772,"latent=64, lr=0.001, bs=32, epochs_ran=13",models\intermediate_fusion\fusion_brca_fold3.pt
2026-03-03 16:26:15,fusion_intermediate_brca,GS-BRCA,IntermediateFusion,intermediate_fusion_15366,5,4,0.7916,0.8733,0.8254,0.6221,0.6047,"latent=64, lr=0.001, bs=32, epochs_ran=12",models\intermediate_fusion\fusion_brca_fold4.pt
2026-03-03 16:26:23,fusion_intermediate_coad,GS-COAD,IntermediateFusion,intermediate_fusion_15200,5,0,0.7159,0.7905,0.7427,0.4428,0.4915,"latent=64, lr=0.001, bs=32, epochs_ran=15",models\intermediate_fusion\fusion_coad_fold0.pt
2026-03-03 16:26:27,fusion_intermediate_coad,GS-COAD,IntermediateFusion,intermediate_fusion_15200,5,1,0.6036,0.6202,0.6083,0.5945,0.6531,"latent=64, lr=0.001, bs=32, epochs_ran=18",models\intermediate_fusion\fusion_coad_fold1.pt
2026-03-03 16:26:32,fusion_intermediate_coad,GS-COAD,IntermediateFusion,intermediate_fusion_15200,5,2,0.6315,0.6722,0.6489,0.6907,0.7872,"latent=64, lr=0.001, bs=32, epochs_ran=19",models\intermediate_fusion\fusion_coad_fold2.pt
2026-03-03 16:26:36,fusion_intermediate_coad,GS-COAD,IntermediateFusion,intermediate_fusion_15200,5,3,0.8301,0.7873,0.8051,0.5941,0.6384,"latent=64, lr=0.001, bs=32, epochs_ran=19",models\intermediate_fusion\fusion_coad_fold3.pt
2026-03-03 16:26:41,fusion_intermediate_coad,GS-COAD,IntermediateFusion,intermediate_fusion_15200,5,4,0.518,0.5947,0.5403,0.4194,0.4678,"latent=64, lr=0.001, bs=32, epochs_ran=23",models\intermediate_fusion\fusion_coad_fold4.pt
2026-03-05 21:53:35,ablation_remove_mrna,GS-BRCA,IntermediateFusion_ablation,without_mrna,5,0,0.8248,0.8782,0.8455,0.6819,0.5999,A1: removed mrna,
2026-03-05 21:53:45,ablation_remove_mrna,GS-BRCA,IntermediateFusion_ablation,without_mrna,5,1,0.7033,0.7486,0.6924,0.5217,0.4238,A1: removed mrna,
2026-03-05 21:53:55,ablation_remove_mrna,GS-BRCA,IntermediateFusion_ablation,without_mrna,5,2,0.6726,0.7505,0.6927,0.5614,0.5439,A1: removed mrna,
2026-03-05 21:54:06,ablation_remove_mrna,GS-BRCA,IntermediateFusion_ablation,without_mrna,5,3,0.9068,0.8768,0.8833,0.747,0.7061,A1: removed mrna,
2026-03-05 21:54:20,ablation_remove_mrna,GS-BRCA,IntermediateFusion_ablation,without_mrna,5,4,0.7206,0.725,0.7202,0.5313,0.5509,A1: removed mrna,
2026-03-05 21:54:37,ablation_remove_mirna,GS-BRCA,IntermediateFusion_ablation,without_mirna,5,0,0.8293,0.8932,0.8469,0.7162,0.6938,A1: removed mirna,
2026-03-05 21:54:51,ablation_remove_mirna,GS-BRCA,IntermediateFusion_ablation,without_mirna,5,1,0.7358,0.8086,0.7485,0.571,0.4819,A1: removed mirna,
2026-03-05 21:55:04,ablation_remove_mirna,GS-BRCA,IntermediateFusion_ablation,without_mirna,5,2,0.7474,0.7914,0.7618,0.6596,0.7077,A1: removed mirna,
2026-03-05 21:55:18,ablation_remove_mirna,GS-BRCA,IntermediateFusion_ablation,without_mirna,5,3,0.8589,0.8982,0.8712,0.7206,0.6745,A1: removed mirna,
2026-03-05 21:55:29,ablation_remove_mirna,GS-BRCA,IntermediateFusion_ablation,without_mirna,5,4,0.7566,0.8308,0.7849,0.6045,0.5778,A1: removed mirna,
2026-03-05 21:55:42,ablation_remove_methy,GS-BRCA,IntermediateFusion_ablation,without_methy,5,0,0.7468,0.8788,0.79,0.6167,0.4784,A1: removed methy,
2026-03-05 21:55:53,ablation_remove_methy,GS-BRCA,IntermediateFusion_ablation,without_methy,5,1,0.7202,0.7593,0.7372,0.5792,0.5753,A1: removed methy,
2026-03-05 21:56:06,ablation_remove_methy,GS-BRCA,IntermediateFusion_ablation,without_methy,5,2,0.7365,0.8073,0.7654,0.6122,0.6154,A1: removed methy,
2026-03-05 21:56:20,ablation_remove_methy,GS-BRCA,IntermediateFusion_ablation,without_methy,5,3,0.8114,0.9147,0.8523,0.7176,0.6781,A1: removed methy,
2026-03-05 21:56:31,ablation_remove_methy,GS-BRCA,IntermediateFusion_ablation,without_methy,5,4,0.7699,0.8285,0.7951,0.5775,0.5258,A1: removed methy,
2026-03-05 21:56:44,ablation_remove_cnv,GS-BRCA,IntermediateFusion_ablation,without_cnv,5,0,0.7465,0.8701,0.776,0.6106,0.473,A1: removed cnv,
2026-03-05 21:57:00,ablation_remove_cnv,GS-BRCA,IntermediateFusion_ablation,without_cnv,5,1,0.6832,0.781,0.7112,0.5511,0.5271,A1: removed cnv,
2026-03-05 21:57:17,ablation_remove_cnv,GS-BRCA,IntermediateFusion_ablation,without_cnv,5,2,0.7717,0.8386,0.7968,0.6578,0.6266,A1: removed cnv,
2026-03-05 21:57:34,ablation_remove_cnv,GS-BRCA,IntermediateFusion_ablation,without_cnv,5,3,0.8043,0.908,0.835,0.6895,0.6348,A1: removed cnv,
2026-03-05 21:57:51,ablation_remove_cnv,GS-BRCA,IntermediateFusion_ablation,without_cnv,5,4,0.8052,0.8641,0.8282,0.6178,0.5768,A1: removed cnv,
2026-03-05 21:57:57,ablation_remove_mrna,GS-COAD,IntermediateFusion_ablation,without_mrna,5,0,0.5875,0.6036,0.5838,0.5599,0.5352,A1: removed mrna,
2026-03-05 21:58:06,ablation_remove_mrna,GS-COAD,IntermediateFusion_ablation,without_mrna,5,1,0.8626,0.8952,0.8772,0.7118,0.7599,A1: removed mrna,
2026-03-05 21:58:15,ablation_remove_mrna,GS-COAD,IntermediateFusion_ablation,without_mrna,5,2,0.5672,0.6222,0.5889,0.5691,0.6675,A1: removed mrna,
2026-03-05 21:58:24,ablation_remove_mrna,GS-COAD,IntermediateFusion_ablation,without_mrna,5,3,0.7292,0.8151,0.7497,0.6263,0.6984,A1: removed mrna,
2026-03-05 21:58:30,ablation_remove_mrna,GS-COAD,IntermediateFusion_ablation,without_mrna,5,4,0.5196,0.5914,0.5437,0.5013,0.5343,A1: removed mrna,
2026-03-05 21:58:36,ablation_remove_mirna,GS-COAD,IntermediateFusion_ablation,without_mirna,5,0,0.5771,0.6071,0.5875,0.5445,0.6303,A1: removed mirna,
2026-03-05 21:58:42,ablation_remove_mirna,GS-COAD,IntermediateFusion_ablation,without_mirna,5,1,0.9361,0.9095,0.9213,0.7994,0.8281,A1: removed mirna,
2026-03-05 21:58:48,ablation_remove_mirna,GS-COAD,IntermediateFusion_ablation,without_mirna,5,2,0.8786,0.9079,0.8833,0.6675,0.6932,A1: removed mirna,
2026-03-05 21:58:53,ablation_remove_mirna,GS-COAD,IntermediateFusion_ablation,without_mirna,5,3,0.8397,0.8159,0.8223,0.5846,0.6319,A1: removed mirna,
2026-03-05 21:58:59,ablation_remove_mirna,GS-COAD,IntermediateFusion_ablation,without_mirna,5,4,0.7745,0.834,0.7947,0.4976,0.4772,A1: removed mirna,
2026-03-05 21:59:04,ablation_remove_methy,GS-COAD,IntermediateFusion_ablation,without_methy,5,0,0.809,0.8667,0.8337,0.6021,0.6907,A1: removed methy,
2026-03-05 21:59:08,ablation_remove_methy,GS-COAD,IntermediateFusion_ablation,without_methy,5,1,0.6701,0.6595,0.6628,0.7854,0.8627,A1: removed methy,
2026-03-05 21:59:14,ablation_remove_methy,GS-COAD,IntermediateFusion_ablation,without_methy,5,2,0.8737,0.9079,0.8877,0.6078,0.6525,A1: removed methy,
2026-03-05 21:59:19,ablation_remove_methy,GS-COAD,IntermediateFusion_ablation,without_methy,5,3,0.7348,0.8444,0.7604,0.5872,0.6359,A1: removed methy,
2026-03-05 21:59:23,ablation_remove_methy,GS-COAD,IntermediateFusion_ablation,without_methy,5,4,0.4972,0.559,0.514,0.4266,0.4739,A1: removed methy,
2026-03-05 21:59:27,ablation_remove_cnv,GS-COAD,IntermediateFusion_ablation,without_cnv,5,0,0.6744,0.7476,0.699,0.3631,0.4325,A1: removed cnv,
2026-03-05 21:59:34,ablation_remove_cnv,GS-COAD,IntermediateFusion_ablation,without_cnv,5,1,0.644,0.6524,0.6448,0.67,0.7497,A1: removed cnv,
2026-03-05 21:59:40,ablation_remove_cnv,GS-COAD,IntermediateFusion_ablation,without_cnv,5,2,0.902,0.9151,0.9047,0.68,0.7086,A1: removed cnv,
2026-03-05 21:59:44,ablation_remove_cnv,GS-COAD,IntermediateFusion_ablation,without_cnv,5,3,0.5354,0.523,0.5283,0.4397,0.4532,A1: removed cnv,
2026-03-05 21:59:48,ablation_remove_cnv,GS-COAD,IntermediateFusion_ablation,without_cnv,5,4,0.5643,0.5987,0.5684,0.4743,0.5429,A1: removed cnv,
2026-03-05 22:00:40,ablation_early_fusion,GS-BRCA,EarlyFusionMLP,early_concat_15366,5,0,0.7593,0.8683,0.7978,0.6116,0.5168,"A2: EarlyFusionMLP, total_features=15366",
2026-03-05 22:00:50,ablation_early_fusion,GS-BRCA,EarlyFusionMLP,early_concat_15366,5,1,0.5832,0.6877,0.604,0.4593,0.4364,"A2: EarlyFusionMLP, total_features=15366",
2026-03-05 22:01:04,ablation_early_fusion,GS-BRCA,EarlyFusionMLP,early_concat_15366,5,2,0.6433,0.6744,0.6472,0.5379,0.628,"A2: EarlyFusionMLP, total_features=15366",
2026-03-05 22:01:19,ablation_early_fusion,GS-BRCA,EarlyFusionMLP,early_concat_15366,5,3,0.7415,0.8444,0.7729,0.6006,0.5437,"A2: EarlyFusionMLP, total_features=15366",
2026-03-05 22:01:31,ablation_early_fusion,GS-BRCA,EarlyFusionMLP,early_concat_15366,5,4,0.7808,0.8003,0.7892,0.5543,0.5702,"A2: EarlyFusionMLP, total_features=15366",
2026-03-05 22:02:46,ablation_early_fusion,GS-BRCA,EarlyFusionMLP,early_concat_15366,5,0,0.7593,0.8683,0.7978,0.6116,0.5168,"A2: EarlyFusionMLP, total_features=15366",
2026-03-05 22:02:56,ablation_early_fusion,GS-BRCA,EarlyFusionMLP,early_concat_15366,5,1,0.5832,0.6877,0.604,0.4593,0.4364,"A2: EarlyFusionMLP, total_features=15366",
2026-03-05 22:03:06,ablation_early_fusion,GS-BRCA,EarlyFusionMLP,early_concat_15366,5,2,0.6433,0.6744,0.6472,0.5379,0.628,"A2: EarlyFusionMLP, total_features=15366",
2026-03-05 22:03:18,ablation_early_fusion,GS-BRCA,EarlyFusionMLP,early_concat_15366,5,3,0.7415,0.8444,0.7729,0.6006,0.5437,"A2: EarlyFusionMLP, total_features=15366",
2026-03-05 22:03:28,ablation_early_fusion,GS-BRCA,EarlyFusionMLP,early_concat_15366,5,4,0.7808,0.8003,0.7892,0.5543,0.5702,"A2: EarlyFusionMLP, total_features=15366",
2026-03-05 22:03:31,ablation_early_fusion,GS-COAD,EarlyFusionMLP,early_concat_15200,5,0,0.724,0.7857,0.7278,0.4276,0.4899,"A2: EarlyFusionMLP, total_features=15200",
2026-03-05 22:03:33,ablation_early_fusion,GS-COAD,EarlyFusionMLP,early_concat_15200,5,1,0.8922,0.8429,0.8611,0.6501,0.7438,"A2: EarlyFusionMLP, total_features=15200",
2026-03-05 22:03:36,ablation_early_fusion,GS-COAD,EarlyFusionMLP,early_concat_15200,5,2,0.7889,0.8151,0.7955,0.5078,0.4858,"A2: EarlyFusionMLP, total_features=15200",
2026-03-05 22:03:39,ablation_early_fusion,GS-COAD,EarlyFusionMLP,early_concat_15200,5,3,0.8182,0.8016,0.8004,0.5359,0.5408,"A2: EarlyFusionMLP, total_features=15200",
2026-03-05 22:03:42,ablation_early_fusion,GS-COAD,EarlyFusionMLP,early_concat_15200,5,4,0.5524,0.6305,0.5703,0.499,0.4954,"A2: EarlyFusionMLP, total_features=15200",
2026-03-05 22:05:21,ablation_missing_10pct,GS-BRCA,IntermediateFusion_ablation,missing_10pct,5,0,0.843,0.8479,0.8439,0.6691,0.655,A3: 10% modalities zeroed,
2026-03-05 22:05:34,ablation_missing_10pct,GS-BRCA,IntermediateFusion_ablation,missing_10pct,5,1,0.7205,0.8048,0.7417,0.583,0.4805,A3: 10% modalities zeroed,
2026-03-05 22:05:47,ablation_missing_10pct,GS-BRCA,IntermediateFusion_ablation,missing_10pct,5,2,0.7707,0.8177,0.7863,0.6484,0.6607,A3: 10% modalities zeroed,
2026-03-05 22:05:59,ablation_missing_10pct,GS-BRCA,IntermediateFusion_ablation,missing_10pct,5,3,0.8325,0.9224,0.8665,0.7253,0.6746,A3: 10% modalities zeroed,
2026-03-05 22:06:12,ablation_missing_10pct,GS-BRCA,IntermediateFusion_ablation,missing_10pct,5,4,0.8316,0.8818,0.8539,0.6579,0.6557,A3: 10% modalities zeroed,
2026-03-05 22:06:27,ablation_missing_20pct,GS-BRCA,IntermediateFusion_ablation,missing_20pct,5,0,0.8184,0.8422,0.8274,0.6295,0.6192,A3: 20% modalities zeroed,
2026-03-05 22:06:42,ablation_missing_20pct,GS-BRCA,IntermediateFusion_ablation,missing_20pct,5,1,0.8188,0.8359,0.8251,0.6853,0.6917,A3: 20% modalities zeroed,
2026-03-05 22:07:19,ablation_missing_20pct,GS-BRCA,IntermediateFusion_ablation,missing_20pct,5,2,0.7764,0.8289,0.7976,0.7068,0.7083,A3: 20% modalities zeroed,
2026-03-05 22:07:35,ablation_missing_20pct,GS-BRCA,IntermediateFusion_ablation,missing_20pct,5,3,0.8604,0.9271,0.8835,0.7428,0.7071,A3: 20% modalities zeroed,
2026-03-05 22:07:53,ablation_missing_20pct,GS-BRCA,IntermediateFusion_ablation,missing_20pct,5,4,0.7913,0.8713,0.8221,0.6289,0.6346,A3: 20% modalities zeroed,
2026-03-05 22:08:12,ablation_missing_30pct,GS-BRCA,IntermediateFusion_ablation,missing_30pct,5,0,0.7638,0.8338,0.7908,0.6156,0.5768,A3: 30% modalities zeroed,
2026-03-05 22:08:31,ablation_missing_30pct,GS-BRCA,IntermediateFusion_ablation,missing_30pct,5,1,0.6572,0.7439,0.6786,0.5089,0.4506,A3: 30% modalities zeroed,
2026-03-05 22:08:49,ablation_missing_30pct,GS-BRCA,IntermediateFusion_ablation,missing_30pct,5,2,0.6701,0.7887,0.6949,0.5771,0.5234,A3: 30% modalities zeroed,
2026-03-05 22:09:08,ablation_missing_30pct,GS-BRCA,IntermediateFusion_ablation,missing_30pct,5,3,0.8022,0.9138,0.8454,0.7076,0.6414,A3: 30% modalities zeroed,
2026-03-05 22:09:30,ablation_missing_30pct,GS-BRCA,IntermediateFusion_ablation,missing_30pct,5,4,0.7806,0.8539,0.8119,0.6147,0.625,A3: 30% modalities zeroed,
2026-03-05 22:09:51,ablation_missing_50pct,GS-BRCA,IntermediateFusion_ablation,missing_50pct,5,0,0.7978,0.8514,0.821,0.6453,0.6191,A3: 50% modalities zeroed,
2026-03-05 22:10:14,ablation_missing_50pct,GS-BRCA,IntermediateFusion_ablation,missing_50pct,5,1,0.6105,0.6606,0.6194,0.4725,0.436,A3: 50% modalities zeroed,
2026-03-05 22:10:33,ablation_missing_50pct,GS-BRCA,IntermediateFusion_ablation,missing_50pct,5,2,0.6825,0.739,0.6993,0.5603,0.5736,A3: 50% modalities zeroed,
2026-03-05 22:10:46,ablation_missing_10pct,GS-BRCA,IntermediateFusion_ablation,missing_10pct,5,0,0.843,0.8479,0.8439,0.6691,0.655,A3: 10% modalities zeroed,
2026-03-05 22:10:52,ablation_missing_50pct,GS-BRCA,IntermediateFusion_ablation,missing_50pct,5,3,0.7817,0.8955,0.8211,0.6773,0.6379,A3: 50% modalities zeroed,
2026-03-05 22:11:07,ablation_missing_10pct,GS-BRCA,IntermediateFusion_ablation,missing_10pct,5,1,0.7205,0.8048,0.7417,0.583,0.4805,A3: 10% modalities zeroed,
2026-03-05 22:11:11,ablation_missing_50pct,GS-BRCA,IntermediateFusion_ablation,missing_50pct,5,4,0.7491,0.853,0.7856,0.6108,0.5867,A3: 50% modalities zeroed,
2026-03-05 22:11:30,ablation_missing_10pct,GS-BRCA,IntermediateFusion_ablation,missing_10pct,5,2,0.7707,0.8177,0.7863,0.6484,0.6607,A3: 10% modalities zeroed,
2026-03-05 22:11:49,ablation_missing_10pct,GS-COAD,IntermediateFusion_ablation,missing_10pct,5,0,0.6839,0.7143,0.6908,0.4464,0.5052,A3: 10% modalities zeroed,
2026-03-05 22:11:50,ablation_missing_10pct,GS-BRCA,IntermediateFusion_ablation,missing_10pct,5,3,0.8325,0.9224,0.8665,0.7253,0.6746,A3: 10% modalities zeroed,
2026-03-05 22:11:54,ablation_missing_10pct,GS-COAD,IntermediateFusion_ablation,missing_10pct,5,1,0.8458,0.8631,0.8535,0.5649,0.6076,A3: 10% modalities zeroed,
2026-03-05 22:12:00,ablation_missing_10pct,GS-COAD,IntermediateFusion_ablation,missing_10pct,5,2,0.6146,0.6651,0.634,0.6539,0.7327,A3: 10% modalities zeroed,
2026-03-05 22:12:07,ablation_missing_10pct,GS-COAD,IntermediateFusion_ablation,missing_10pct,5,3,0.8385,0.8373,0.8242,0.5633,0.5783,A3: 10% modalities zeroed,
2026-03-05 22:12:10,ablation_missing_10pct,GS-BRCA,IntermediateFusion_ablation,missing_10pct,5,4,0.8316,0.8818,0.8539,0.6579,0.6557,A3: 10% modalities zeroed,
2026-03-05 22:12:13,ablation_missing_10pct,GS-COAD,IntermediateFusion_ablation,missing_10pct,5,4,0.5588,0.6345,0.5868,0.517,0.5731,A3: 10% modalities zeroed,
2026-03-05 22:12:18,ablation_missing_20pct,GS-COAD,IntermediateFusion_ablation,missing_20pct,5,0,0.7748,0.8476,0.8043,0.5411,0.5624,A3: 20% modalities zeroed,
2026-03-05 22:12:24,ablation_missing_20pct,GS-COAD,IntermediateFusion_ablation,missing_20pct,5,1,0.6047,0.5762,0.5745,0.6544,0.7439,A3: 20% modalities zeroed,
2026-03-05 22:12:29,ablation_missing_20pct,GS-COAD,IntermediateFusion_ablation,missing_20pct,5,2,0.5488,0.6151,0.5743,0.4944,0.6084,A3: 20% modalities zeroed,
2026-03-05 22:12:31,ablation_missing_20pct,GS-BRCA,IntermediateFusion_ablation,missing_20pct,5,0,0.8184,0.8422,0.8274,0.6295,0.6192,A3: 20% modalities zeroed,
2026-03-05 22:12:33,ablation_missing_20pct,GS-COAD,IntermediateFusion_ablation,missing_20pct,5,3,0.5634,0.6357,0.5918,0.5488,0.56,A3: 20% modalities zeroed,
2026-03-05 22:12:38,ablation_missing_20pct,GS-COAD,IntermediateFusion_ablation,missing_20pct,5,4,0.5108,0.4979,0.4504,0.3156,0.274,A3: 20% modalities zeroed,
2026-03-05 22:12:42,ablation_missing_30pct,GS-COAD,IntermediateFusion_ablation,missing_30pct,5,0,0.6861,0.7429,0.6974,0.3985,0.4613,A3: 30% modalities zeroed,
2026-03-05 22:12:50,ablation_missing_30pct,GS-COAD,IntermediateFusion_ablation,missing_30pct,5,1,0.6445,0.6179,0.6242,0.7166,0.762,A3: 30% modalities zeroed,
2026-03-05 22:12:54,ablation_missing_20pct,GS-BRCA,IntermediateFusion_ablation,missing_20pct,5,1,0.8188,0.8359,0.8251,0.6853,0.6917,A3: 20% modalities zeroed,
2026-03-05 22:12:56,ablation_missing_30pct,GS-COAD,IntermediateFusion_ablation,missing_30pct,5,2,0.5786,0.6008,0.5891,0.5844,0.721,A3: 30% modalities zeroed,
2026-03-05 22:13:02,ablation_missing_30pct,GS-COAD,IntermediateFusion_ablation,missing_30pct,5,3,0.5714,0.5587,0.5578,0.4566,0.5309,A3: 30% modalities zeroed,
2026-03-05 22:13:08,ablation_missing_30pct,GS-COAD,IntermediateFusion_ablation,missing_30pct,5,4,0.558,0.6555,0.5884,0.5359,0.5106,A3: 30% modalities zeroed,
2026-03-05 22:13:13,ablation_missing_50pct,GS-COAD,IntermediateFusion_ablation,missing_50pct,5,0,0.7085,0.6952,0.6543,0.3577,0.4026,A3: 50% modalities zeroed,
2026-03-05 22:13:14,ablation_missing_20pct,GS-BRCA,IntermediateFusion_ablation,missing_20pct,5,2,0.7764,0.8289,0.7976,0.7068,0.7083,A3: 20% modalities zeroed,
2026-03-05 22:13:19,ablation_missing_50pct,GS-COAD,IntermediateFusion_ablation,missing_50pct,5,1,0.8958,0.8774,0.8859,0.6696,0.7105,A3: 50% modalities zeroed,
2026-03-05 22:13:24,ablation_missing_50pct,GS-COAD,IntermediateFusion_ablation,missing_50pct,5,2,0.6679,0.6357,0.6464,0.7762,0.8567,A3: 50% modalities zeroed,
2026-03-05 22:13:29,ablation_missing_50pct,GS-COAD,IntermediateFusion_ablation,missing_50pct,5,3,0.4137,0.4786,0.4171,0.3305,0.3637,A3: 50% modalities zeroed,
2026-03-05 22:13:34,ablation_missing_50pct,GS-COAD,IntermediateFusion_ablation,missing_50pct,5,4,0.5094,0.541,0.4946,0.3547,0.3512,A3: 50% modalities zeroed,
2026-03-05 22:13:36,ablation_missing_20pct,GS-BRCA,IntermediateFusion_ablation,missing_20pct,5,3,0.8604,0.9271,0.8835,0.7428,0.7071,A3: 20% modalities zeroed,
2026-03-05 22:13:50,ablation_missing_20pct,GS-BRCA,IntermediateFusion_ablation,missing_20pct,5,4,0.7913,0.8713,0.8221,0.6289,0.6346,A3: 20% modalities zeroed,
2026-03-05 22:14:04,ablation_missing_30pct,GS-BRCA,IntermediateFusion_ablation,missing_30pct,5,0,0.7638,0.8338,0.7908,0.6156,0.5768,A3: 30% modalities zeroed,
2026-03-05 22:14:19,ablation_missing_30pct,GS-BRCA,IntermediateFusion_ablation,missing_30pct,5,1,0.6572,0.7439,0.6786,0.5089,0.4506,A3: 30% modalities zeroed,
2026-03-05 22:14:33,ablation_missing_30pct,GS-BRCA,IntermediateFusion_ablation,missing_30pct,5,2,0.6701,0.7887,0.6949,0.5771,0.5234,A3: 30% modalities zeroed,
2026-03-05 22:14:49,ablation_missing_30pct,GS-BRCA,IntermediateFusion_ablation,missing_30pct,5,3,0.8022,0.9138,0.8454,0.7076,0.6414,A3: 30% modalities zeroed,
2026-03-05 22:15:02,ablation_missing_30pct,GS-BRCA,IntermediateFusion_ablation,missing_30pct,5,4,0.7806,0.8539,0.8119,0.6147,0.625,A3: 30% modalities zeroed,
2026-03-05 22:15:16,ablation_missing_50pct,GS-BRCA,IntermediateFusion_ablation,missing_50pct,5,0,0.7978,0.8514,0.821,0.6453,0.6191,A3: 50% modalities zeroed,
2026-03-05 22:15:29,ablation_missing_50pct,GS-BRCA,IntermediateFusion_ablation,missing_50pct,5,1,0.6105,0.6606,0.6194,0.4725,0.436,A3: 50% modalities zeroed,
2026-03-05 22:15:43,ablation_missing_50pct,GS-BRCA,IntermediateFusion_ablation,missing_50pct,5,2,0.6825,0.739,0.6993,0.5603,0.5736,A3: 50% modalities zeroed,
2026-03-05 22:15:57,ablation_missing_50pct,GS-BRCA,IntermediateFusion_ablation,missing_50pct,5,3,0.7817,0.8955,0.8211,0.6773,0.6379,A3: 50% modalities zeroed,
2026-03-05 22:16:11,ablation_missing_50pct,GS-BRCA,IntermediateFusion_ablation,missing_50pct,5,4,0.7491,0.853,0.7856,0.6108,0.5867,A3: 50% modalities zeroed,
2026-03-05 22:16:38,ablation_missing_10pct,GS-COAD,IntermediateFusion_ablation,missing_10pct,5,0,0.6839,0.7143,0.6908,0.4464,0.5052,A3: 10% modalities zeroed,
2026-03-05 22:16:43,ablation_missing_10pct,GS-COAD,IntermediateFusion_ablation,missing_10pct,5,1,0.8458,0.8631,0.8535,0.5649,0.6076,A3: 10% modalities zeroed,
2026-03-05 22:16:48,ablation_missing_10pct,GS-COAD,IntermediateFusion_ablation,missing_10pct,5,2,0.6146,0.6651,0.634,0.6539,0.7327,A3: 10% modalities zeroed,
2026-03-05 22:16:53,ablation_missing_10pct,GS-COAD,IntermediateFusion_ablation,missing_10pct,5,3,0.8385,0.8373,0.8242,0.5633,0.5783,A3: 10% modalities zeroed,
2026-03-05 22:16:57,ablation_missing_10pct,GS-COAD,IntermediateFusion_ablation,missing_10pct,5,4,0.5588,0.6345,0.5868,0.517,0.5731,A3: 10% modalities zeroed,
2026-03-05 22:17:02,ablation_missing_20pct,GS-COAD,IntermediateFusion_ablation,missing_20pct,5,0,0.7748,0.8476,0.8043,0.5411,0.5624,A3: 20% modalities zeroed,
2026-03-05 22:17:06,ablation_missing_20pct,GS-COAD,IntermediateFusion_ablation,missing_20pct,5,1,0.6047,0.5762,0.5745,0.6544,0.7439,A3: 20% modalities zeroed,
2026-03-05 22:17:10,ablation_missing_20pct,GS-COAD,IntermediateFusion_ablation,missing_20pct,5,2,0.5488,0.6151,0.5743,0.4944,0.6084,A3: 20% modalities zeroed,
2026-03-05 22:17:13,ablation_missing_20pct,GS-COAD,IntermediateFusion_ablation,missing_20pct,5,3,0.5634,0.6357,0.5918,0.5488,0.56,A3: 20% modalities zeroed,
2026-03-05 22:17:17,ablation_missing_20pct,GS-COAD,IntermediateFusion_ablation,missing_20pct,5,4,0.5108,0.4979,0.4504,0.3156,0.274,A3: 20% modalities zeroed,
2026-03-05 22:17:20,ablation_missing_30pct,GS-COAD,IntermediateFusion_ablation,missing_30pct,5,0,0.6861,0.7429,0.6974,0.3985,0.4613,A3: 30% modalities zeroed,
2026-03-05 22:17:25,ablation_missing_30pct,GS-COAD,IntermediateFusion_ablation,missing_30pct,5,1,0.6445,0.6179,0.6242,0.7166,0.762,A3: 30% modalities zeroed,
2026-03-05 22:17:30,ablation_missing_30pct,GS-COAD,IntermediateFusion_ablation,missing_30pct,5,2,0.5786,0.6008,0.5891,0.5844,0.721,A3: 30% modalities zeroed,
2026-03-05 22:17:35,ablation_missing_30pct,GS-COAD,IntermediateFusion_ablation,missing_30pct,5,3,0.5714,0.5587,0.5578,0.4566,0.5309,A3: 30% modalities zeroed,
2026-03-05 22:17:40,ablation_missing_30pct,GS-COAD,IntermediateFusion_ablation,missing_30pct,5,4,0.558,0.6555,0.5884,0.5359,0.5106,A3: 30% modalities zeroed,
2026-03-05 22:17:44,ablation_missing_50pct,GS-COAD,IntermediateFusion_ablation,missing_50pct,5,0,0.7085,0.6952,0.6543,0.3577,0.4026,A3: 50% modalities zeroed,
